Name,ClusterNo,Property,Degree,Visited,Border
"""哥嫂侄儿""",1,噪声,1,true,false
"""柳芳""",0,噪声,1,true,false
"""王子胜""",1,噪声,1,true,false
"""鹦鹉""",5,保护,1,true,false
"""贾喜鸾""",0,噪声,1,true,false
"""李嬷嬷孙子""",1,保护,1,true,false
"""王子腾夫人""",1,噪声,1,true,false
"""贾惜春""",4,噪声,4,true,false
"""贾蔷""",4,噪声,2,true,false
"""赵亦华""",1,保护,1,true,false
"""金氏""",4,噪声,2,true,false
"""春纤""",1,噪声,1,true,false
"""四儿""",1,保护,1,true,false
"""侍书""",1,噪声,1,true,false
"""隆儿""",2,保护,1,true,false
"""智善""",3,边界,2,true,false
"""琥珀""",5,保护,1,true,false
"""王夫人之大兄凤姐之父""",2,边界,4,true,true
"""净虚""",3,高密度,11,true,false
"""金彩""",0,噪声,1,true,false
"""张金哥""",3,噪声,2,true,false
"""镇国公诰命""",0,噪声,1,true,false
"""林之孝""",2,噪声,1,true,false
"""贾琮""",2,边界,2,true,false
"""智通""",3,边界,2,true,false
"""胡老爷公子""",3,保护,1,true,false
"""入画""",4,噪声,1,true,false
"""扫花""",1,保护,1,true,false
"""水溶""",0,噪声,3,true,false
"""史鼎的夫人""",5,噪声,1,true,false
"""贾琏""",2,高密度,15,true,false
"""许氏""",4,噪声,1,true,false
"""赖大""",0,噪声,3,true,false
"""赵天栋""",1,噪声,1,true,false
"""周瑞女儿""",1,噪声,1,true,false
"""文花""",4,保护,1,true,false
"""薛宝钗""",1,边界,6,true,true
"""同贵""",1,噪声,1,true,false
"""锦乡侯""",0,噪声,2,true,false
"""薛宝琴""",1,噪声,4,true,false
"""文官""",5,保护,1,true,false
"""老苍头""",1,噪声,1,true,false
"""张若锦""",1,保护,1,true,false
"""金鸳鸯""",5,保护,1,true,false
"""贾珍""",4,高密度,8,true,false
"""贾母""",5,高密度,10,true,false
"""史鼐""",5,噪声,1,true,false
"""贾环""",1,边界,2,true,false
"""文杏""",1,噪声,1,true,false
"""张大财主""",3,边界,2,true,false
"""小丫头子""",0,噪声,1,true,false
"""通判傅试""",1,保护,1,true,false
"""西宁郡王妃""",0,噪声,1,true,false
"""北静王少妃""",0,噪声,1,true,false
"""北静郡王长府官""",0,噪声,1,true,false
"""莺儿""",1,噪声,1,true,false
"""戴权""",1,噪声,1,true,false
"""兴儿""",2,保护,1,true,false
"""皇太后""",1,噪声,1,true,false
"""王子腾""",1,噪声,3,true,false
"""夏奶奶""",1,噪声,2,true,false
"""秦可卿""",4,噪声,4,true,true
"""贾兰的奶妈""",1,噪声,1,true,false
"""邢夫人""",2,边界,7,true,false
"""王奶奶""",0,噪声,1,true,false
"""林黛玉""",1,噪声,6,true,false
"""挑云""",1,保护,1,true,false
"""藕官""",1,噪声,3,true,false
"""张大老爷""",2,噪声,2,true,false
"""北静郡王""",0,噪声,2,true,false
"""厨房中的柳家媳妇""",1,噪声,1,true,false
"""李绮""",1,噪声,3,true,false
"""智能""",1,噪声,1,true,false
"""夏守忠""",1,噪声,1,true,false
"""袭人之母""",0,噪声,1,true,false
"""寿儿""",4,保护,1,true,false
"""甄夫人""",1,噪声,1,true,false
"""林红玉""",2,边界,2,true,false
"""皇帝""",1,噪声,6,true,false
"""陈翼""",0,噪声,1,true,false
"""贾巧姐""",2,边界,3,true,false
"""彩鸾""",1,保护,1,true,false
"""同喜""",1,噪声,1,true,false
"""冷子兴""",1,噪声,1,true,false
"""贾四姐""",0,噪声,1,true,false
"""娇杏""",0,噪声,1,true,false
"""彩屏""",4,噪声,1,true,false
"""娄氏""",1,噪声,2,true,false
"""林如海之父""",1,噪声,1,true,false
"""王信媳妇""",2,保护,1,true,false
"""傅秋芳""",0,噪声,1,true,false
"""赖大的女儿""",0,噪声,1,true,false
"""彩霞""",1,边界,3,true,false
"""孙绍祖""",2,噪声,2,true,false
"""长安府府太爷""",0,噪声,1,true,false
"""老姨奶奶""",1,噪声,1,true,false
"""贾元春""",1,边界,3,true,false
"""戚建辉""",0,噪声,1,true,false
"""甄宝玉祖母""",1,噪声,1,true,false
"""吴贵妃""",1,噪声,2,true,false
"""王仁""",2,噪声,1,true,false
"""周贵人父亲""",1,噪声,1,true,false
"""钱槐""",1,噪声,2,true,false
"""湘云母""",5,噪声,2,true,false
"""太妃""",1,噪声,1,true,false
"""先皇""",1,噪声,2,true,false
"""卜世仁店里伙计""",0,噪声,1,true,false
"""贾政""",1,高密度,11,true,false
"""卜世仁娘子""",0,噪声,1,true,false
"""周姨娘""",1,保护,1,true,false
"""史侯""",5,边界,2,true,false
"""邢忠""",2,噪声,2,true,true
"""张嬷嬷""",1,保护,1,true,false
"""牛清""",0,噪声,3,true,false
"""白玉钏""",1,边界,2,true,false
"""王嬷嬷""",1,边界,2,true,false
"""定城侯""",0,噪声,1,true,false
"""南安郡王之孙""",0,噪声,1,true,false
"""李纨""",1,噪声,4,true,false
"""神武将军冯唐""",0,噪声,1,true,false
"""赖尚荣""",0,噪声,1,true,false
"""贾璜""",4,噪声,1,true,false
"""南安郡王""",0,噪声,2,true,false
"""王荣""",1,保护,1,true,false
"""周琼之子""",1,噪声,1,true,false
"""傻大姐的娘""",5,噪声,1,true,false
"""鲍二""",2,保护,1,true,false
"""檀云""",1,保护,1,true,false
"""引泉""",1,保护,1,true,false
"""多姑娘儿""",1,噪声,1,true,false
"""马魁""",0,噪声,1,true,false
"""花芳官""",1,边界,2,true,false
"""白金钏""",1,边界,2,true,false
"""史湘云爷爷""",5,噪声,4,true,false
"""蒋玉菡""",1,保护,1,true,false
"""圆心""",1,噪声,1,true,false
"""小鸠儿""",1,噪声,1,true,false
"""王狗儿""",1,噪声,4,true,false
"""缮国公诰命""",0,噪声,1,true,false
"""应天府门子""",0,噪声,2,true,false
"""王善保""",2,噪声,1,true,false
"""鸳鸯""",0,噪声,2,true,false
"""卫若兰""",5,噪声,1,true,false
"""扫红""",1,保护,1,true,false
"""柳湘莲""",4,噪声,2,true,false
"""傅试""",0,噪声,1,true,false
"""柳二媳妇的妹子""",1,噪声,1,true,false
"""小蝉""",1,噪声,2,true,false
"""坠儿""",1,保护,1,true,false
"""东平郡王""",0,噪声,1,true,false
"""傻大姐""",5,边界,2,true,false
"""多官""",1,噪声,2,true,false
"""秦业""",3,噪声,2,true,true
"""赵天梁""",1,噪声,1,true,false
"""李婶之弟""",1,噪声,1,true,false
"""花袭人""",1,保护,1,true,false
"""长安原任守备""",3,噪声,1,true,false
"""史鼎""",5,噪声,2,true,false
"""贾源""",1,噪声,3,true,true
"""陈瑞文""",0,噪声,1,true,false
"""贾演""",4,噪声,6,true,true
"""赵国基""",1,噪声,1,true,false
"""贾瑞""",0,噪声,1,true,false
"""周瑞""",1,边界,5,true,false
"""贾代儒""",0,噪声,1,true,false
"""娇红""",2,保护,1,true,false
"""昭儿""",2,保护,1,true,false
"""紫鹊""",1,噪声,1,true,false
"""薛蝌""",1,噪声,2,true,false
"""贾雨村子""",0,噪声,1,true,false
"""景田侯""",0,噪声,1,true,false
"""小舍儿""",1,噪声,1,true,false
"""贾赦""",2,高密度,8,true,false
"""贾琼""",0,噪声,1,true,false
"""金文翔""",0,噪声,1,true,false
"""卜银姐""",0,噪声,1,true,false
"""刘氏""",1,噪声,2,true,false
"""南安王太妃""",0,噪声,1,true,false
