Head,Relation,Tail
"贾宝玉","子","贾政"
"莺儿","丫鬟","薛宝钗"
"王荣","奴仆","贾宝玉"
"薛蟠","子","薛公之孙"
"小鸠儿","妹","何春燕"
"林如海之子","子","林如海"
"花芳官","丫鬟","贾宝玉"
"哥嫂侄儿","侄","柳五儿"
"彩霞之母","母亲","彩霞"
"多官","表哥","晴雯"
"冷子兴","女婿","周瑞"
"贾兰的奶妈","奶妈","贾兰"
"素云","丫鬟","李纨"
"晴雯","丫鬟","贾宝玉"
"薛姨妈","妻","薛公之孙"
"林如海之父","父亲","林如海"
"花袭人","妾","贾宝玉"
"林黛玉","女","林如海"
"绣凤","丫鬟","王夫人"
"小吉祥","丫鬟","赵姨娘"
"蒋玉菡","朋友","贾宝玉"
"厨房中的柳家媳妇","母亲","柳五儿"
"张嬷嬷","乳母","贾宝玉"
"小鹊","丫鬟","赵姨娘"
"侍书","丫鬟","贾探春"
"白玉钏","丫鬟","王夫人"
"贾敏","女","贾代善"
"四儿","丫鬟","贾宝玉"
"老苍头","乳父","薛蟠"
"藕官","徒弟","圆心"
"花芳官","徒弟","智能"
"小霞","妹","彩霞"
"周瑞","奴仆","王夫人"
"扫红","奴仆","贾宝玉"
"赵姨娘","妾","贾政"
"坠儿","丫鬟","贾宝玉"
"白老媳妇","母亲","白玉钏"
"薛宝钗","女","薛公之孙"
"贾政","子","贾代善"
"李纨","妻","贾珠"
"李守中","父亲","李纨"
"贾母","妻","贾代善"
"篆儿","丫鬟","贾宝玉"
"赵嬷嬷","乳母","贾琏"
"太祖皇帝","父亲","先皇"
"王嬷嬷","乳母","林黛玉"
"周嫂子的儿子","子","周瑞"
